"","ecoregion_name","code","biome","long","lat","sec_type","value","pri_type"
"134","Everglades","NT0904","Flooded Grasslands",-80.864,26.182,"bird_num",210,"Species Data"
"135","Guayaquil flooded grasslands","NT0905","Flooded Grasslands",-79.55,-2.15,"bird_num",165,"Species Data"
"136","Orinoco wetlands","NT0906","Flooded Grasslands",-62.188,9.563,"bird_num",303,"Species Data"
"137","Pantanal","NT0907","Flooded Grasslands",-57.518,-17.923,"bird_num",423,"Species Data"
"138","Parana flooded savanna","NT0908","Flooded Grasslands",-59.337,-30.674,"bird_num",293,"Species Data"
"139","Southern Cone Mesopotamian savanna","NT0909","Flooded Grasslands",-56.667,-28.688,"bird_num",282,"Species Data"
"140","Central Andean dry puna","NT1001","Montane Grasslands",-67.804,-21.308,"bird_num",231,"Species Data"
"141","Central Andean puna","NT1002","Montane Grasslands",-68.072,-20.821,"bird_num",526,"Species Data"
"142","Central Andean wet puna","NT1003","Montane Grasslands",-72.623,-13.421,"bird_num",242,"Species Data"
"143","Cordillera Central paramo","NT1004","Montane Grasslands",-78.31,-6.952,"bird_num",152,"Species Data"
"144","Cordillera de Merida paramo","NT1005","Montane Grasslands",-70.821,8.786,"bird_num",77,"Species Data"
"145","Northern Andean paramo","NT1006","Montane Grasslands",-76.281,2.298,"bird_num",157,"Species Data"
"146","Santa Marta paramo","NT1007","Montane Grasslands",-73.5,10.75,"bird_num",56,"Species Data"
"147","Southern Andean steppe","NT1008","Montane Grasslands",-69.162,-30.301,"bird_num",157,"Species Data"
"148","High Monte","NT1010","Montane Grasslands",-67.503,-28.75,"bird_num",203,"Species Data"
"149","Chilean matorral","NT1201","Mediterranean Forest",-70.964,-31.439,"bird_num",131,"Species Data"
"150","Araya and Paria xeric scrub","NT1301","Deserts",-63.417,10.417,"bird_num",339,"Species Data"
"151","Atacama desert","NT1303","Deserts",-69.509,-22.333,"bird_num",97,"Species Data"
"152","Caatinga","NT1304","Deserts",-40.219,-9.139,"bird_num",320,"Species Data"
"153","Caribbean shrublands","NT1305","Deserts",-65.364,15.136,"bird_num",203,"Species Data"
"154","Cuban cactus scrub","NT1306","Deserts",-79.135,21.481,"bird_num",244,"Species Data"
"155","Galapagos Islands scrubland mosaic","NT1307","Deserts",-91.25,-0.456,"bird_num",92,"Species Data"
"156","Guajira-Barranquilla xeric scrub","NT1308","Deserts",-73.481,10.673,"bird_num",387,"Species Data"
"157","La Costa xeric shrublands","NT1309","Deserts",-66.179,9.774,"bird_num",395,"Species Data"
"158","Motagua Valley thornscrub","NT1312","Deserts",-89.75,15,"bird_num",115,"Species Data"
"159","Paraguana xeric scrub","NT1313","Deserts",-70.214,10.536,"bird_num",316,"Species Data"
"160","San Lucan xeric scrub","NT1314","Deserts",-110.083,23.817,"bird_num",190,"Species Data"
"161","Sechura desert","NT1315","Deserts",-75.138,-12.876,"bird_num",168,"Species Data"
"162","Tehuacan Valley matorral","NT1316","Deserts",-97.712,18.788,"bird_num",169,"Species Data"
"163","Amazon-Orinoco-Southern Caribbean mangroves","NT1401","Mangroves",-57.81,5.36,"bird_num",113,"Species Data"
"164","Bahamoan-Antillean mangroves","NT1402","Mangroves",-76.018,20.919,"bird_num",164,"Species Data"
"165","Mesoamerican Gulf-Caribbean mangroves","NT1403","Mangroves",-88.42,16.925,"bird_num",106,"Species Data"
"166","Northern Mesoamerican Pacific mangroves","NT1404","Mangroves",-105.685,22.185,"bird_num",85,"Species Data"
