"","code","mad_prec","mad_temp","max_prec","max_temp","max3m_prec","max3m_temp","med_temp","min_prec","min_temp","min3m_prec","min3m_temp","tot_prec","areakm2","long","lat","elev","rain_south","rain_west","temp_south","temp_west","patch_num","mad_elev","ecoregion_name","biome","bird_num","mammal_num","reptile_num","amphibian_num","total_num"
"53","NT0156",90.21621,0.37065,306.95,26.6,876.9,26.53333333,26.2,105.95,25.2,373.3,25.4,2482.45,176760,-69.441,-2.862,118.49,252.35,164.16,26.14,25.69,48,26.6868,"Purus varzea","Tropical Moist Forest",623,219,164,128,1134
"54","NT0157",131.43249,0.51891,306.2,27.1,894.2,27.03333333,26.4,38.6,25.6,152.8,25.76666667,2271,173261,-63.468,-6.696,64.78,280.7,57.68,26.63,25.99,5,11.8608,"Purus-Madeira moist forests","Tropical Moist Forest",572,183,36,72,863
"55","NT0158",60.49008,0.44478,352.9,27,957.1,26.9,26.65,147.95,25.7,465.9,25.81666667,2684.75,95986,-64.931,0.772,106.01,268.47,172.83,26.14,26.41,27,34.0998,"Rio Negro campinarana","Tropical Moist Forest",358,216,25,65,664
"56","NT0159",135.546705,0.59304,324.7,19.7,770.3,19.63333333,19.175,25.65,17.95,104.6,18.16666667,1861.55,4766,-73.607,10.75,842.43,131.73,28.23,23.46,22.38,1,570.801,"Santa Marta montane forests","Tropical Moist Forest",459,170,38,20,687
"57","NT0160",65.60505,3.33585,232.1,23.1,637.6,22.8,19.55,61.7,15.4,207.6,15.9,1528.1,104610,-47.063,-24.604,561.33,209.59,75.36,22.94,16.41,9,517.4274,"Serra do Mar coastal forests","Tropical Moist Forest",628,175,123,247,1173
"58","NT0161",133.95291,2.52042,419.6,27,1058.6,26.5,24.3,28.2,20,104.6,20.56666667,2088.8,3890,-95.125,18.25,100.75,268.07,53.18,27.49,22.29,1,289.107,"Sierra de los Tuxtlas","Tropical Moist Forest",436,117,83,41,677
"59","NT0162",207.78639,0.96369,475.5,25.75,1209.45,25.36666667,24.3,6.95,23.05,31.2,23.26666667,2345.05,11218,-91.721,14.897,723.71,358.37,12.68,24.44,22.85,1,407.715,"Sierra Madre de Chiapas moist forest","Tropical Moist Forest",315,148,118,44,625
"60","NT0163",56.41293,0.29652,330.15,26.7,944.4,26.66666667,26.45,177.4,25.2,592.7,25.46666667,3039.35,166931,-70.875,-2.229,94.18,233.12,213.09,26.26,25.42,3,10.3782,"Solimoes-Japura moist forest","Tropical Moist Forest",542,191,224,136,1093
"61","NT0164",72.27675,4.484865,246.8,27.6,623.15,27.4,23.975,37.15,18.75,139.15,19.23333333,1407.5,2071,-80.75,25.417,0,205.1,45.59,28.2,20.74,5,1.4826,"South Florida rocklands","Tropical Moist Forest",176,36,51,15,278
"62","NT0165",52.11339,4.67019,153.9,23.3,423.8,23.03333333,19.85,4.9,13.5,19.9,14.23333333,732.3,75150,-64.807,-23.557,1503.65,133.84,8.05,21.79,12.88,8,709.4241,"Southern Andean Yungas","Tropical Moist Forest",463,161,72,49,745
