measure,type,code
4.05,min3m.prec,NT1001
11.2,min3m.prec,NT1002
19.6,min3m.prec,NT1003
59.4,min3m.prec,NT1004
35.8,min3m.prec,NT1005
120.5,min3m.prec,NT1006
121.8,min3m.prec,NT1007
39.6,min3m.prec,NT1008
18.95,min3m.prec,NT1010
3.9,min3m.prec,NT1201
97.4,min3m.prec,NT1301
1.5,min3m.prec,NT1303
14.85,min3m.prec,NT1304
167.5,min3m.prec,NT1305
112.8,min3m.prec,NT1306
163.9,min3m.prec,NT1307
35.45,min3m.prec,NT1308
29.25,min3m.prec,NT1309
83.6,min3m.prec,NT1312
48.7,min3m.prec,NT1313
4.4,min3m.prec,NT1314
1.5,min3m.prec,NT1315
21.35,min3m.prec,NT1316
110.05,min3m.prec,NT1401
112,min3m.prec,NT1402
125.4,min3m.prec,NT1403
5.45,min3m.prec,NT1404
323.4,min3m.prec,NT1405
178.1,min3m.prec,NT1406
13.4,min3m.prec,NT1407
504.4,max3m.prec,NT0101
406.7,max3m.prec,NT0102
485.5,max3m.prec,NT0103
603.7,max3m.prec,NT0104
674,max3m.prec,NT0105
703.65,max3m.prec,NT0106
999.4,max3m.prec,NT0107
702.3,max3m.prec,NT0108
728.3,max3m.prec,NT0109
1014.2,max3m.prec,NT0111
781.9,max3m.prec,NT0112
814.75,max3m.prec,NT0113
557.1,max3m.prec,NT0114
1270.5,max3m.prec,NT0115
551.6,max3m.prec,NT0117
650.4,max3m.prec,NT0118
1070.6,max3m.prec,NT0119
550.15,max3m.prec,NT0120
434.65,max3m.prec,NT0121
1047.9,max3m.prec,NT0122
1222.5,max3m.prec,NT0124
970,max3m.prec,NT0125
949.65,max3m.prec,NT0126
576.9,max3m.prec,NT0127
735.95,max3m.prec,NT0128
1116.9,max3m.prec,NT0129
1036.2,max3m.prec,NT0130
737.55,max3m.prec,NT0131
878.4,max3m.prec,NT0132
868.7,max3m.prec,NT0133
848.5,max3m.prec,NT0134
948.7,max3m.prec,NT0135
682.95,max3m.prec,NT0136
865.4,max3m.prec,NT0137
1149.1,max3m.prec,NT0138
870.25,max3m.prec,NT0139
965.5,max3m.prec,NT0140
908.9,max3m.prec,NT0141
897.2,max3m.prec,NT0142
1138.1,max3m.prec,NT0143
911.55,max3m.prec,NT0144
850.7,max3m.prec,NT0145
761.5,max3m.prec,NT0146
688.6,max3m.prec,NT0147
879.45,max3m.prec,NT0148
816.75,max3m.prec,NT0149
541.45,max3m.prec,NT0150
690.85,max3m.prec,NT0151
516.3,max3m.prec,NT0152
426.4,max3m.prec,NT0153
975.65,max3m.prec,NT0154
629.5,max3m.prec,NT0155
876.9,max3m.prec,NT0156
894.2,max3m.prec,NT0157
957.1,max3m.prec,NT0158
770.3,max3m.prec,NT0159
637.6,max3m.prec,NT0160
1058.6,max3m.prec,NT0161
1209.45,max3m.prec,NT0162
944.4,max3m.prec,NT0163
623.15,max3m.prec,NT0164
423.8,max3m.prec,NT0165
835.2,max3m.prec,NT0166
1220.9,max3m.prec,NT0167
944,max3m.prec,NT0168
1317.9,max3m.prec,NT0169
1110.75,max3m.prec,NT0170
774.35,max3m.prec,NT0171
900.7,max3m.prec,NT0173
665.8,max3m.prec,NT0174
441.3,max3m.prec,NT0175
613.1,max3m.prec,NT0176
972.85,max3m.prec,NT0177
1073.3,max3m.prec,NT0178
861.3,max3m.prec,NT0179
945.6,max3m.prec,NT0180
519.8,max3m.prec,NT0181
1198.8,max3m.prec,NT0182
787.3,max3m.prec,NT0201
462.4,max3m.prec,NT0202
489.9,max3m.prec,NT0204
582.85,max3m.prec,NT0205
337.7,max3m.prec,NT0206
539.25,max3m.prec,NT0207
800.15,max3m.prec,NT0209
330.85,max3m.prec,NT0210
757.2,max3m.prec,NT0211
554.5,max3m.prec,NT0212
538.6,max3m.prec,NT0213
614.1,max3m.prec,NT0214
423.7,max3m.prec,NT0215
686.1,max3m.prec,NT0217
726.95,max3m.prec,NT0218
285.5,max3m.prec,NT0219
729.6,max3m.prec,NT0220
599.8,max3m.prec,NT0221
433.55,max3m.prec,NT0222
320.5,max3m.prec,NT0223
805,max3m.prec,NT0224
772.9,max3m.prec,NT0225
555.7,max3m.prec,NT0226
290.35,max3m.prec,NT0227
600.2,max3m.prec,NT0228
582.8,max3m.prec,NT0229
670.6,max3m.prec,NT0230
146.45,max3m.prec,NT0232
753.25,max3m.prec,NT0233
504.7,max3m.prec,NT0235
489.2,max3m.prec,NT0301
849.25,max3m.prec,NT0302
697.45,max3m.prec,NT0303
561.7,max3m.prec,NT0304
639.8,max3m.prec,NT0305
1147.6,max3m.prec,NT0306
394.9,max3m.prec,NT0307
589.3,max3m.prec,NT0308
640.5,max3m.prec,NT0309
570.6,max3m.prec,NT0310
415.1,max3m.prec,NT0402
693.6,max3m.prec,NT0404
744.75,max3m.prec,NT0702
791.7,max3m.prec,NT0703
742.75,max3m.prec,NT0704
970.5,max3m.prec,NT0707
426.75,max3m.prec,NT0708
937.5,max3m.prec,NT0709
377.7,max3m.prec,NT0710
260.6,max3m.prec,NT0801
77.1,max3m.prec,NT0802
309.4,max3m.prec,NT0803
69.35,max3m.prec,NT0805
562.95,max3m.prec,NT0902
367.8,max3m.prec,NT0903
611.9,max3m.prec,NT0904
865.05,max3m.prec,NT0905
618.2,max3m.prec,NT0906
591.7,max3m.prec,NT0907
377.85,max3m.prec,NT0908
450.7,max3m.prec,NT0909
114.1,max3m.prec,NT1001
252.95,max3m.prec,NT1002
411.9,max3m.prec,NT1003
376.3,max3m.prec,NT1004
283.1,max3m.prec,NT1005
323.45,max3m.prec,NT1006
674.4,max3m.prec,NT1007
142.6,max3m.prec,NT1008
131.1,max3m.prec,NT1010
138.3,max3m.prec,NT1201
453.9,max3m.prec,NT1301
13.8,max3m.prec,NT1303
378.15,max3m.prec,NT1304
530.75,max3m.prec,NT1305
433.9,max3m.prec,NT1306
382,max3m.prec,NT1307
498.25,max3m.prec,NT1308
575.85,max3m.prec,NT1309
695.75,max3m.prec,NT1312
289.5,max3m.prec,NT1313
213.9,max3m.prec,NT1314
68.4,max3m.prec,NT1315
312.55,max3m.prec,NT1316
882.85,max3m.prec,NT1401
515.7,max3m.prec,NT1402
616.7,max3m.prec,NT1403
425.7,max3m.prec,NT1404
916.3,max3m.prec,NT1405
724.8,max3m.prec,NT1406
964.35,max3m.prec,NT1407
24.83355,mad.prec,NT0101
24.01812,mad.prec,NT0102
42.69888,mad.prec,NT0103
89.25252,mad.prec,NT0104
92.36598,mad.prec,NT0105
55.44924,mad.prec,NT0106
109.7124,mad.prec,NT0107
82.95147,mad.prec,NT0108
65.75331,mad.prec,NT0109
140.03157,mad.prec,NT0111
128.39316,mad.prec,NT0112
103.596675,mad.prec,NT0113
55.37511,mad.prec,NT0114
73.75935,mad.prec,NT0115
76.72455,mad.prec,NT0117
80.87583,mad.prec,NT0118
210.195615,mad.prec,NT0119
83.655705,mad.prec,NT0120
26.83506,mad.prec,NT0121
71.38719,mad.prec,NT0122
169.16466,mad.prec,NT0124
98.37051,mad.prec,NT0125
144.664695,mad.prec,NT0126
76.05738,mad.prec,NT0127
52.372845,mad.prec,NT0128
121.05429,mad.prec,NT0129
145.36893,mad.prec,NT0130
88.956,mad.prec,NT0131
66.34635,mad.prec,NT0132
104.74569,mad.prec,NT0133
79.46736,mad.prec,NT0134
152.48541,mad.prec,NT0135
73.75935,mad.prec,NT0136
95.55357,mad.prec,NT0137
184.95435,mad.prec,NT0138
98.778225,mad.prec,NT0139
186.65934,mad.prec,NT0140
128.91207,mad.prec,NT0141
51.07557,mad.prec,NT0142
136.76985,mad.prec,NT0143
111.306195,mad.prec,NT0144
65.75331,mad.prec,NT0145
68.9409,mad.prec,NT0146
71.68371,mad.prec,NT0147
101.595165,mad.prec,NT0148
76.613355,mad.prec,NT0149
49.07406,mad.prec,NT0150
93.18141,mad.prec,NT0151
70.015785,mad.prec,NT0152
58.48857,mad.prec,NT0153
116.272905,mad.prec,NT0154
70.86828,mad.prec,NT0155
90.21621,mad.prec,NT0156
131.43249,mad.prec,NT0157
60.49008,mad.prec,NT0158
135.546705,mad.prec,NT0159
65.60505,mad.prec,NT0160
133.95291,mad.prec,NT0161
207.78639,mad.prec,NT0162
56.41293,mad.prec,NT0163
72.27675,mad.prec,NT0164
52.11339,mad.prec,NT0165
114.08607,mad.prec,NT0166
163.23426,mad.prec,NT0167
149.07543,mad.prec,NT0168
201.11469,mad.prec,NT0169
128.800875,mad.prec,NT0170
102.410595,mad.prec,NT0171
118.53387,mad.prec,NT0173
49.96362,mad.prec,NT0174
51.1497,mad.prec,NT0175
59.304,mad.prec,NT0176
78.13302,mad.prec,NT0177
102.89244,mad.prec,NT0178
110.23131,mad.prec,NT0179
149.44608,mad.prec,NT0180
73.574025,mad.prec,NT0181
171.53682,mad.prec,NT0182
133.13748,mad.prec,NT0201
86.58384,mad.prec,NT0202
26.83506,mad.prec,NT0204
45.552885,mad.prec,NT0205
34.76697,mad.prec,NT0206
58.34031,mad.prec,NT0207
144.47937,mad.prec,NT0209
52.002195,mad.prec,NT0210
97.62921,mad.prec,NT0211
79.24497,mad.prec,NT0212
92.328915,mad.prec,NT0213
39.73368,mad.prec,NT0214
74.20413,mad.prec,NT0215
25.9455,mad.prec,NT0217
94.66401,mad.prec,NT0218
27.539295,mad.prec,NT0219
92.81076,mad.prec,NT0220
71.38719,mad.prec,NT0221
53.15121,mad.prec,NT0222
29.911455,mad.prec,NT0223
113.93781,mad.prec,NT0224
75.46434,mad.prec,NT0225
72.20262,mad.prec,NT0226
16.75338,mad.prec,NT0227
31.80177,mad.prec,NT0228
76.72455,mad.prec,NT0229
55.00446,mad.prec,NT0230
1.445535,mad.prec,NT0232
52.40991,mad.prec,NT0233
67.08765,mad.prec,NT0235
59.60052,mad.prec,NT0301
133.767585,mad.prec,NT0302
108.37806,mad.prec,NT0303
78.42954,mad.prec,NT0304
96.51726,mad.prec,NT0305
153.89388,mad.prec,NT0306
24.75942,mad.prec,NT0307
57.59901,mad.prec,NT0308
61.82442,mad.prec,NT0309
40.99389,mad.prec,NT0310
11.78667,mad.prec,NT0402
50.77905,mad.prec,NT0404
127.837185,mad.prec,NT0702
116.23584,mad.prec,NT0703
129.468045,mad.prec,NT0704
93.25554,mad.prec,NT0707
39.029445,mad.prec,NT0708
139.58679,mad.prec,NT0709
13.49166,mad.prec,NT0710
33.3585,mad.prec,NT0801
6.37518,mad.prec,NT0802
33.28437,mad.prec,NT0803
5.63388,mad.prec,NT0805
94.8864,mad.prec,NT0902
55.52337,mad.prec,NT0903
67.16178,mad.prec,NT0904
46.590705,mad.prec,NT0905
76.87281,mad.prec,NT0906
87.76992,mad.prec,NT0907
42.03171,mad.prec,NT0908
20.97879,mad.prec,NT0909
5.70801,mad.prec,NT1001
19.384995,mad.prec,NT1002
63.23289,mad.prec,NT1003
52.70643,mad.prec,NT1004
26.53854,mad.prec,NT1005
29.80026,mad.prec,NT1006
115.6428,mad.prec,NT1007
9.85929,mad.prec,NT1008
